Institution;Number;Percent;Amount;Percent;Average Amount
Children's Hospital Research Institute of Manitoba (Winnipeg);1;.012;200681;.01;200681
CHU de Québec;49;.578;18025521;.922;367868
CHUS - Hôpital Fleurimont (Québec);1;.012;49537;.003;49537
CIET Canada (Ottawa);3;.035;68542;.004;22847
CIRANO Group, University of Montreal;1;.012;418201;.021;418201
City of Hamilton, Public Health Services;1;.012;35000;.002;35000
CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General;37;.436;16892644;.864;456558
CIUSSS de l'Est-de-l'lle-de-Montréal-Santé Mentale;4;.047;574583;.029;143646
CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital;48;.566;11874786;.607;247391
CIUSSS du Centre-Sud-de-l'Ile-de-Montréal - Gériatrie (IUGM);15;.177;2969520;.152;197968
CIUSSS du Nord-de-l'Ile-de Montréal - Hôpital Sacré Coeur;22;.259;3603731;.184;163806
CIUSSS Est-de-l'Ile-de- Montréal-Maisonneuve Rosemont;10;.118;3491826;.179;349183
Columbia University (New York);6;.071;315000;.016;52500
Community Living British Columbia (Vancouver);1;.012;33498;.002;33498
Community-Based Research Centre (Vancouver B.C.);1;.012;74667;.004;74667
Concordia University (Montreal, Quebec);23;.271;4050315;.207;176101
Concordia University of Edmonton;1;.012;3500;0;3500
Cornell University (New York);3;.035;17500;.001;5833
Correctional Service Canada (Ottawa, Ontario);1;.012;35000;.002;35000
Cross Cancer Institute (Edmonton);2;.024;216842;.011;108421
Dalhousie University (Nova Scotia);136;1.603;27394217;1.401;201428
Dana-Farber Cancer Institute (Boston);1;.012;140000;.007;140000
Dartmouth College (New Hampshire);1;.012;100000;.005;100000
Deakin University (Australia);1;.012;100000;.005;100000
Deloitte LLP. (Toronto, ON);2;.024;101208;.005;50604
Douglas Mental Health University Institute (Montreal, QC);13;.153;4179829;.214;321525
Duke Clinical Research Institute (NC);1;.012;60000;.003;60000
Duke University (North Carolina);1;.012;140000;.007;140000
Duke University Medical Center (Durham, North Carolina);2;.024;111250;.006;55625
Effective Basic Services-eBase (Cameroon);1;.012;1250;0;1250
Erasmus MC (Netherlands);1;.012;70000;.004;70000
Erasmus Universiteit Rotterdam (The Netherlands);1;.012;6000;0;6000
First Nations Health and Social Secretariat of Manitoba (Winnipeg);3;.035;1459734;.075;486578
First Nations Health Authority (West Vancouver, BC);2;.024;1110650;.057;555325
Flinders University of South Australia;1;.012;4583;0;4583
Fraser Health Authority (Surrey, BC);2;.024;727326;.037;363663
Friedrich-Alexander University (Germany);1;.012;100000;.005;100000
G.F. Strong Rehabilitation Centre (Vancouver);1;.012;101667;.005;101667
Gwich'in Tribal Council (Inuvik NT);1;.012;35000;.002;35000
Hôpital de Chicoutimi (Québec);1;.012;289649;.015;289649
